ID	FATHER	MOTHER																																												
259122420	240151451	240151514																																												
259122416	240150352	240151514																																												
259122422	240151537	240151512																																												
259122421	240151536	240151512																																												
259122423	240151536	240151512																																												
240151590	240151538	240151509																																												
240151591	240151538	240151509																																												
240151592	240151538	240151509																																												
240151593	240151538	240151509																																												
240151594	240151538	240151509																																												
240151600	240151538	240151509																																												
240151579	240151541	240151507																																												
240151580	240151541	240151507																																												
259122401	240151541	240151507																																												
240151561	191123955	240151505																																												
240151562	191123955	240151505																																												
240151563	191123955	240151505																																												
259122413	NA	240151504																																												
259122414	NA	240151504																																												
259122415	NA	240151504																																												
240151568	239159631	240151503																																												
240151569	239159631	240151503																																												
240151570	239159631	240151503																																												
240151571	239159631	240151503																																												
240151572	239159631	240151503																																												
259122402	240151542	240151502																																												
240151543	NA	240151501																																												
240151545	NA	240151501																																												
240151547	NA	240151501																																												
240151544	240151528	240151501																																												
240151546	240151528	240151501																																												
240151599	240151528	240151501																																												
240134877	240134897	240151418																																												
240134880	240134897	240151418																																												
240134876	239160336	240151418																																												
240134878	239160336	240151418																																												
240134879	239160336	240151418																																												
240134881	239160336	240151418																																												
259122436	240151531	240150945																																												
259122435	240151371	240150945																																												
259122439	240151371	240150945																																												
259122438	240151340	240150945																																												
259122437	191123955	240150945																																												
212110206	240151835	240150642																																												
212110204	160120693	240150642																																												
240151581	240150677	240150566																																												
240151582	240150677	240150566																																												
240151583	240150677	240150566																																												
240151584	240150677	240150566																																												
240151585	240150342	240150566																																												
240151595	240150342	240150566																																												
240134838	240150347	240150435																																												
240134842	240150347	240150435																																												
240134840	239160622	240150435																																												
240134841	239160622	240150435																																												
240134839	222154155	240150435																																												
259122452	240151555	240150429																																												
259122453	240151555	240150429																																												
259122454	240151555	240150429																																												
259122443	240150338	240150406																																												
259122444	160120825	240150406																																												
259122445	160120825	240150406																																												
259122446	160120825	240150406																																												
262126021	259122480	240150299																																												
262126037	259122480	240150299																																												
262126039	259122480	240150299																																												
262126022	191123955	240150299																																												
262126070	262125814	240150290																																												
262126072	240150297	240150290																																												
262126074	160120825	240150290																																												
262126048	259122441	240150282																																												
262126049	259122441	240150282																																												
262125868	NA	240150281																																												
262125869	NA	240150281																																												
262125887	NA	240150281																																												
262125889	NA	240150281																																												
262126023	NA	240150281																																												
262126024	262126036	240150280																																												
262125890	160120584	240150280																																												
262125892	160120584	240150280																																												
262126026	160120584	240150280																																												
262126044	160120584	240150280																																												
262126046	160120584	240150280																																												
262125876	240150868	240150275																																												
262125877	240150868	240150275																																												
262125891	240150294	240150275																																												
262126025	240150294	240150275																																												
262126045	240150294	240150275																																												
262125878	259122442	240150268																																												
262125861	259122442	240150268																																												
262125864	259122442	240150268																																												
262126027	259122442	240150268																																												
262126028	259122442	240150268																																												
262125819	NA	240150266																																												
262125820	240150298	240150266																																												
262125815	239159636	240150266																																												
262125822	239159636	240150266																																												
262125824	239159636	240150266																																												
262125806	240151451	240150265																																												
262125809	240151451	240150265																																												
262125805	240150352	240150265																																												
262125808	240150352	240150265																																												
262125804	NA	240150264																																												
262125807	240150338	240150264																																												
240151565	NA	240150120																																												
240151566	NA	240150120																																												
240151567	NA	240150120																																												
263114145	263114121	240150099																																												
263114146	263114121	240150099																																												
263114147	263114121	240150099																																												
263114148	263114121	240150099																																												
263113840	NA	240150093																																												
263113842	NA	240150093																																												
263113838	263114120	240150093																																												
263114450	263113815	240150093																																												
263114446	239160704	240150093																																												
263114449	239160704	240150093																																												
263114495	259122676	240150080																																												
263114496	259122676	240150080																																												
263114497	239160674	240150080																																												
263113891	263113816	240150077																																												
263113894	263113816	240150077																																												
263113895	263113816	240150077																																												
232146908	NA	240150068																																												
232146909	NA	240150068																																												
212110207	263113822	240150055																																												
212110209	263113822	240150055																																												
232146902	263113822	240150055																																												
232146903	263113822	240150055																																												
232146916	263113817	240150054																																												
212110201	259122308	240150054																																												
232146915	240150056	240150054																																												
263114490	NA	240150052																																												
263113898	239160704	240150052																																												
263114491	239160704	240150052																																												
263114174	263114124	240134820																																												
263114176	263114124	240134820																																												
262125434	240150695	240134820																																												
262125435	240150695	240134820																																												
262125436	240150695	240134820																																												
262125437	240150695	240134820																																												
262125438	240150695	240134820																																												
263114173	222154155	240134820																																												
263114175	222154155	240134820																																												
262125430	240134897	240134816																																												
262125431	240134897	240134816																																												
262125432	240134897	240134816																																												
262125433	240134817	240134816																																												
262125419	NA	240134815																																												
262125422	240150695	240134815																																												
262125420	240150694	240134815																																												
262125418	240134887	240134815																																												
262125417	222154155	240134815																																												
262125421	222154155	240134815																																												
160119275	160120139	240134815																																												
160119276	160120139	240134815																																												
160119277	160120139	240134815																																												
160119278	160120139	240134815																																												
160119279	160120139	240134815																																												
262125416	NA	240134812																																												
262125413	240134843	240134812																																												
262125414	240134843	240134812																																												
262125415	240134843	240134812																																												
240134894	240150694	240134811																																												
240134895	240150347	240134811																																												
240134896	240150347	240134811																																												
240134893	240134819	240134811																																												
240134892	160120139	240134811																																												
262125594	240134843	240134808																																												
262125595	240134843	240134808																																												
262125596	240134843	240134808																																												
262125597	240134843	240134808																																												
262125598	240134843	240134808																																												
240134873	NA	240134806																																												
240134874	NA	240134806																																												
240134872	240150347	240134806																																												
240134875	240150347	240134806																																												
263114150	240150347	240134806																																												
263114151	240150347	240134806																																												
263114152	240150347	240134806																																												
263114153	240150347	240134806																																												
263114154	240150347	240134806																																												
240134851	240150695	240134805																																												
240134852	240150695	240134805																																												
240134853	240150695	240134805																																												
240134854	240150695	240134805																																												
240134850	240134819	240134805																																												
240134855	240134819	240134805																																												
240134862	NA	240134804																																												
240134863	240134818	240134804																																												
240134864	240134818	240134804																																												
240134865	240134818	240134804																																												
263114133	263114116	240134803																																												
240134866	240150694	240134803																																												
240134869	240150694	240134803																																												
263114131	240150347	240134803																																												
240134867	239160615	240134803																																												
240134868	239160615	240134803																																												
240134870	239160615	240134803																																												
240134871	239160615	240134803																																												
263114130	239159375	240134803																																												
263114132	239159375	240134803																																												
263114134	239159375	240134803																																												
240134837	240134897	240134802																																												
240134833	240134817	240134802																																												
240134834	240134817	240134802																																												
240134835	239160614	240134802																																												
240134836	239160614	240134802																																												
240134856	NA	240134801																																												
240134857	NA	240134801																																												
240134858	NA	240134801																																												
240134859	NA	240134801																																												
240134860	NA	240134801																																												
240134861	NA	240134801																																												
263113878	263114408	239160931																																												
263113880	263113812	239160931																																												
212110208	NA	239160801																																												
232146904	NA	239160801																																												
212110210	263113821	239160801																																												
232146901	160120284	239160801																																												
262125407	NA	239160699																																												
262125411	NA	239160699																																												
262125412	NA	239160699																																												
262125408	240134843	239160699																																												
262125409	240134830	239160699																																												
262125410	240134830	239160699																																												
240134849	240134817	239160603																																												
240134844	239159375	239160603																																												
240134845	239159375	239160603																																												
240134846	239159375	239160603																																												
240134847	239159375	239160603																																												
240134848	239159375	239160603																																												
262126096	262125803	239160574																																												
262126097	259122441	239160574																																												
262125860	NA	239152851																																												
262125859	NA	239152851																																												
262125837	262125867	239152851																																												
262126012	262125867	239152851																																												
262126013	262125867	239152851																																												
262126014	262125867	239152851																																												
259122518	NA	239152301																																												
263114126	263114115	235120331																																												
263114127	263114115	235120331																																												
263114128	263114115	235120331																																												
263114129	263114115	235120331																																												
240134832	240134897	235120331																																												
240134831	239159375	235120331																																												
212110203	263114178	232173269																																												
212110202	263113818	232173269																																												
212110205	160120693	232173269																																												
240151556	NA	232173199																																												
240151559	NA	232173199																																												
240151557	240151541	232173199																																												
262125863	240151537	232173199																																												
262126029	240151537	232173199																																												
262125862	240150352	232173199																																												
262125865	240150352	232173199																																												
240151558	239159636	232173199																																												
240151560	232173449	232173199																																												
262125838	NA	222154848																																												
262126019	NA	222154848																																												
262125857	240151451	222154848																																												
262125839	239159631	222154848																																												
262125858	239159631	222154848																																												
262126020	239159631	222154848																																												
259122409	NA	222154531																																												
259122410	NA	222154531																																												
259122411	NA	222154531																																												
259122412	NA	222154531																																												
240151586	240150677	222154169																																												
240151587	240150677	222154169																																												
240151588	240150677	222154169																																												
240151589	222154542	222154169																																												
259122424	240151554	222154163																																												
259122425	240151554	222154163																																												
259122427	240151554	222154163																																												
259122428	240151554	222154163																																												
259122426	232173070	222154163																																												
240151597	NA	222153407																																												
240151564	240151540	222153407																																												
259122448	240150315	222153369																																												
259122450	240150315	222153369																																												
259122447	239159553	222153369																																												
259122449	239159553	222153369																																												
259122451	239159553	222153369																																												
259122499	239159553	222153369																																												
259122403	240151535	222153336																																												
259122404	240151535	222153336																																												
259122405	240151535	222153336																																												
259122406	240151535	222153336																																												
259122407	240151535	222153336																																												
259122408	240151535	222153336																																												
259122466	239159631	191123985																																												
262125428	160120139	185142392																																												
262125429	160120139	185142392																																												
263113896	NA	160120626																																												
263113897	NA	160120626																																												
263114488	NA	160120626																																												
263114489	NA	160120626																																												
259122493	240150736	160120373																																												
259122494	240150736	160120373																																												
259122495	240150310	160120373																																												
263114468	NA	160120226																																												
263114469	263114425	160120226																																												
263114466	240150058	160120226																																												
259122458	240151538	160120131																																												
259122456	240151534	160120131																																												
259122457	240151534	160120131																																												
259122459	240150677	160120131																																												
259122455	240150310	160120131																																												
259122460	232173070	160120131																																												
259122461	232173070	160120131																																												
240134889	240150695	160120104																																												
240134891	240150695	160120104																																												
240134888	240150692	160120104																																												
240134890	240134817	160120104																																												
240134899	240134817	160120104																																												
259122465	240151541	160120102																																												
259122462	239159636	160120102																																												
259122463	239159636	160120102																																												
259122464	239159636	160120102																																												
259122517	240151479	160118769																																												
259122516	240151340	160118769																																												
259122515	240150330	160118769																																												
