ANIMAL	SOCNEST	GENNEST	YEAR	UNIT	EXP	SOCMOM	SOCDAD	GENMOM	GENDAD	SWAP	HATCH	BROODBAND	BDATE	AGEBAND	TIMEDAY	BASELATENCY	BASECORT	STRESSLATENCY	STRESSCORT	SLOPE	HEADBILL	FLATWING	MASS	SBMI	SEX	WPO	FATE															
259122518	213113	213113	2013	2	1	239152301	NA	239152301	NA	1	190	1	202	12	12.267	36	1.24	33	6.88	5.65	24.38	46.60	18.95	19.725	NA	NA	1															
240151561	213118	213118	2013	2	1	240151505	191123955	240151505	191123955	1	148	3	160	12	13.333	56	5.85	38	48.36	42.51	26.31	57.50	23.90	20.157	1	1	1															
240151562	213118	213118	2013	2	1	240151505	191123955	240151505	191123955	1	148	3	160	12	13.333	64	12.02	39	56.77	44.74	26.82	54.00	22.10	19.848	1	1	1															
240151563	213118	213118	2013	2	1	240151505	191123955	240151505	191123955	1	148	3	160	12	13.333	61	7.65	34	28.38	20.73	25.23	53.80	23.50	21.184	1	1	1															
259122416	213120	213120	2013	2	1	240151514	240151451	240151514	240150352	1	151	5	163	12	14.817	75	0.61	30	2.00	1.39	24.00	35.00	13.85	19.200	2	2	2															
259122417	213120	213120	2013	2	1	240151514	240151451	240151514	240151451	1	151	5	163	12	14.817	63	0.61	39	NA	NA	23.29	39.50	15.35	18.853	2	1	2															
259122418	213120	213120	2013	2	1	240151514	240151451	240151514	240151451	1	151	5	163	12	14.817	62	2.03	32	4.21	2.18	24.00	35.00	17.25	23.913	1	1	2															
259122419	213120	213120	2013	2	1	240151514	240151451	240151514	240151451	1	151	5	163	12	14.817	73	0.61	34	NA	NA	23.30	33.00	15.00	22.056	1	1	2															
259122420	213120	213120	2013	2	1	240151514	240151451	240151514	240151451	1	151	5	163	12	14.817	49	1.40	29	6.39	5.00	24.95	40.10	17.10	20.688	2	1	2															
259122515	213121	213121	2013	2	1	160118769	240151340	160118769	240150330	1	185	3	197	12	12.050	24	1.30	30	12.55	11.25	24.00	39.00	17.50	21.769	2	2	1															
259122516	213121	213121	2013	2	1	160118769	240151340	160118769	240151340	1	185	3	197	12	12.050	107	26.17	32	1.78	-24.39	23.50	33.00	10.75	15.807	2	1	2															
259122517	213121	213121	2013	2	1	160118769	240151340	160118769	240151479	1	185	3	197	12	12.050	170	0.84	34	7.85	7.00	23.30	39.00	13.00	16.171	2	2	2															
240151556	213125	213125	2013	2	1	232173199	232173449	232173199	NA	1	148	5	160	12	12.583	47	1.46	32	14.67	13.21	23.80	38.00	16.90	21.577	1	2	1															
240151557	213125	213125	2013	2	1	232173199	232173449	232173199	240151541	1	148	5	160	12	12.583	92	2.55	31	5.77	3.22	23.90	35.00	15.50	21.487	1	2	2															
240151558	213125	213125	2013	2	1	232173199	232173449	232173199	239159636	1	148	5	160	12	12.583	82	2.68	30	16.35	13.67	22.35	27.50	11.00	19.412	1	2	1															
240151559	213125	213125	2013	2	1	232173199	232173449	232173199	NA	1	148	5	160	12	12.583	120	1.49	30	34.69	33.21	24.65	37.00	16.40	21.505	1	2	2															
240151560	213125	213125	2013	2	1	232173199	232173449	232173199	232173449	1	148	5	160	12	12.583	90	3.51	33	81.28	77.77	23.22	42.10	16.00	18.436	2	1	1															
259122421	213127	213127	2013	2	1	240151512	240151536	240151512	240151536	1	151	3	163	12	14.983	39	4.18	39	3.23	-0.95	25.00	48.00	18.00	18.189	1	1	1															
259122422	213127	213127	2013	2	1	240151512	240151536	240151512	240151537	1	151	3	163	12	14.983	47	1.63	37	3.99	2.36	25.15	41.00	20.00	23.664	1	2	1															
259122423	213127	213127	2013	2	1	240151512	240151536	240151512	240151536	1	151	3	163	12	14.983	48	2.57	37	2.89	0.33	24.10	33.00	16.90	24.849	2	1	1															
262126129	21415	21415	2014	2	1	262126127	262126128	262126127	NA	1	191	4	203	12	14.317	116	4.072	29	5.518	1.45	22.10	31.50	11.20	17.253	1	2	2															
262126130	21415	21415	2014	2	1	262126127	262126128	262126127	NA	1	191	4	203	12	14.317	55	1.588	30	6.71	5.12	25.90	55.00	24.25	21.383	1	2	1															
262126131	21415	21415	2014	2	1	262126127	262126128	262126127	NA	1	191	4	203	12	14.317	34	0.903	32	12.314	11.41	26.50	55.00	22.20	19.575	1	2	1															
262126132	21415	21415	2014	2	1	262126127	262126128	262126127	NA	1	191	4	203	12	14.317	118	3.732	31	2.644	-1.09	25.30	53.50	21.00	19.037	2	2	1															
262125804	21419	21419	2014	2	1	240150264	NA	240150264	NA	1	148	3	160	12	12.517	85	14.397	31	76.272	61.88	25.30	51.00	21.00	19.971	2	NA	1															
262125805	21419	214120	2014	2	1	240150264	NA	240150265	240150352	2	148	3	160	12	12.517	50	5.881	34	33.846	27.97	25.10	59.00	18.25	15.000	2	NA	2															
