Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Cq_mu,Cq_sd,cq_cv,Cq_relative,Baseline Start,Baseline End,Tm1,Tm2,Curve Quality,Result Quality Issues
O3,FALSE,91,Target 1,Unknown,SYBR,15.01446497,0.971125151,1.71610848,Amp,FALSE,,,,,3,9,78.49187469,,,
M5,FALSE,92,Target 1,Unknown,SYBR,14.54303029,0.9819143,1.714708803,Amp,FALSE,14.33,0.24,1.66,1.28,3,8,78.35710144,,,
N5,FALSE,92,Target 1,Unknown,SYBR,14.38462899,0.98593483,1.716949258,Amp,FALSE,,,,,3,8,78.49187469,,,
O5,FALSE,92,Target 1,Unknown,SYBR,14.07549323,0.979235022,1.70903226,Amp,FALSE,,,,,3,7,78.35710144,,,
M7,FALSE,93,Target 1,Unknown,SYBR,13.92154224,0.992249933,1.723242122,Amp,FALSE,13.99,0.07,0.53,1.25,3,8,78.62664795,,,
N7,FALSE,93,Target 1,Unknown,SYBR,13.97794298,0.987823125,1.727534603,Amp,FALSE,,,,,3,7,78.62664795,,,
O7,FALSE,93,Target 1,Unknown,SYBR,14.0697604,0.988417512,1.718844755,Amp,FALSE,,,,,3,8,78.62664795,,,
M9,FALSE,94,Target 1,Unknown,SYBR,12.93909831,0.9853296,1.729066437,Amp,FALSE,13.10,0.17,1.32,1.17,3,7,78.49187469,,,
N9,FALSE,94,Target 1,Unknown,SYBR,13.07298939,0.989791402,1.728287749,Amp,FALSE,,,,,3,7,78.76142883,,,
O9,FALSE,94,Target 1,Unknown,SYBR,13.28135757,0.991365324,1.729325542,Amp,FALSE,,,,,3,7,78.62664795,,,
M11,FALSE,95,Target 1,Unknown,SYBR,11.62031562,0.974610621,1.706302315,Amp,FALSE,11.80,0.19,1.64,1.05,3,6,78.76142883,,,
N11,FALSE,95,Target 1,Unknown,SYBR,11.78009779,0.98336833,1.715443528,Amp,FALSE,,,,,3,7,78.89620209,,,
O11,FALSE,95,Target 1,Unknown,SYBR,12.00505479,0.977279894,1.715210422,Amp,FALSE,,,,,3,6,78.62664795,,,
M13,FALSE,96,Target 1,Unknown,SYBR,12.16379412,0.982946664,1.714800302,Amp,FALSE,12.49,0.46,3.70,1.11,3,6,78.76024628,,,
N13,FALSE,96,Target 1,Unknown,SYBR,13.02165522,0.966279747,1.730022377,Amp,FALSE,,,,,3,7,78.62545776,,,
O13,FALSE,96,Target 1,Unknown,SYBR,12.29532192,0.9828112,1.718114358,Amp,FALSE,,,,,3,6,78.76024628,,,
M15,FALSE,97,Target 1,Unknown,SYBR,12.4391775,0.976475295,1.714211814,Amp,FALSE,12.42,0.18,1.47,1.11,3,6,78.76024628,,,
N15,FALSE,97,Target 1,Unknown,SYBR,12.5941311,0.990522874,1.716939412,Amp,FALSE,,,,,3,7,78.62545776,,,
